Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
21201,-4,3+,3o,3+,3+,-4,2+,-4
21202,-3,-3,-3,-3,2o,3+,3o,3o
21203,-3,3o,2o,-3,3o,2o,-3,-2
21204,-2,2o,-3,2o,2+,-4,-4,-3
21205,3o,-3,2+,2o,2o,2o,-2,-2
21206,-2,2+,-2,2+,1o,3o,2+,3o
21207,-4,3o,3o,-4,3+,3o,3+,3+
21208,2o,4o,2o,1+,-3,3+,-3,2+
21209,3o,-1,-1,1o,1+,-2,1o,1+
21210,2+,1o,1o,1o,0+,1o,1+,2o
21211,0+,1+,-2,-2,1+,1o,1o,-1
21212,1+,1+,-1,1o,1+,1+,1+,1+
21213,-2,1+,0+,-1,1o,1+,1+,-2
21214,2o,2o,2o,2+,2+,4o,-4,3+
21215,3+,2o,1+,-2,2+,1+,2o,-2
21216,-2,1+,-2,-2,1+,1o,-1,-2
21217,2o,1o,0+,0o,0+,0+,-1,-1
21218,-1,-1,-1,0+,1+,-1,0+,-1
21219,-3,-4,4+,4+,4+,4o,-5,2o
21220,3+,4o,2o,2+,3+,3+,4+,-5
21221,5o,-6,-3,-2,2o,3o,-2,2+
21222,2+,1+,1o,2o,3+,2+,3+,-3
21223,3+,3o,4o,4+,4o,3o,4o,4o
21224,-4,1o,-3,3o,-5,4+,-4,3o
21225,3o,-3,-3,2o,3+,2+,3+,-2
21226,-2,-2,-2,3o,3+,3+,3o,-5
21227,-5,6o,-5,4+,4+,4+,-4,3+
21228,3+,-4,4+,4o,3o,3+,-3,2+
21229,3o,2o,2+,-3,2+,-4,3o,-3
21230,3+,-2,-3,2o,-3,2+,3o,2+
21231,3+,2+,-2,2o,-2,-1,0+,1+
